name,appearances,year,media,description
Anaxes,Star Wars: The Clone Wars,2020,TV series,"A rocky planet located in the Azure sector of the galaxy's Core Worlds region. A majority of its surface was covered with tall, red plant-like life. In the early years of the Imperial Era, the planet was destroyed in a cataclysm, with the remains becoming the Anaxes asteroid belt."
Abafar,Star Wars: The Clone Wars,2012,TV series,"A desert planet located in the Outer Rim with a completely white surface. Known as The Void, the planet is barely populated but is home to massive amounts of rhydonium, a scarce and volatile fuel."
Aeos Prime,Star Wars Resistance,2020,TV series,An ocean planet located in the Outer Rim territories. Home to native Aeosians and the site of a former Rebel Alliance base.
Agamar,Star Wars: The Clone Wars,2012,TV series (mentioned),"A barren, rocky planet in the Outer Rim. Site of a still-active reserve of Separatist droids that became known for surviving the Clone Wars."
Agamar,Star Wars Rebels,2016,TV series,"A barren, rocky planet in the Outer Rim. Site of a still-active reserve of Separatist droids that became known for surviving the Clone Wars."
Ahch-To,The Force Awakens,2015,Film,"Oceanic planet on which Luke Skywalker has been hiding for several years, and the location of the first Jedi Temple and the Tree Library of sacred Jedi texts. Porgs are among the native species."
Ahch-To,The Last Jedi,2017,Film,"Oceanic planet on which Luke Skywalker has been hiding for several years, and the location of the first Jedi Temple and the Tree Library of sacred Jedi texts. Porgs are among the native species."
Ahch-To,The Rise of Skywalker,2019,Film,"Oceanic planet on which Luke Skywalker has been hiding for several years, and the location of the first Jedi Temple and the Tree Library of sacred Jedi texts. Porgs are among the native species."
Ajan Kloss,Star Wars Battlefront II,2017,Video game,A jungle moon which serves as a new base of operations for the Resistance. Leia Organa dies here after using the last of her energy to reach out to her son through the Force.
Ajan Kloss,The Rise of Skywalker,2019,Film,A jungle moon which serves as a new base of operations for the Resistance. Leia Organa dies here after using the last of her energy to reach out to her son through the Force.
Akiva,Star Wars: Aftermath,2015,Book,"Jungle planet and home of Norra and Temmin Wexley, and a primary setting in Aftermath."
Alderaan,A New Hope,1977,Film,"Forests, mountains; home planet of Princess Leia and the House of Organa. Destroyed by the first Death Star as punishment for involvement in the Rebel Alliance and also as a demonstration of power."
Alderaan,Revenge of the Sith,2005,Film,"Forests, mountains; home planet of Princess Leia and the House of Organa. Destroyed by the first Death Star as punishment for involvement in the Rebel Alliance and also as a demonstration of power."
Alzoc III,Star Wars: Last Shot,2018,Book (mentioned),"Ice planet, with many glaciers, and in its surface lies a crashed separatist carrier, with an anti-gravitational device."
Ando,Star Wars Rebels: Head to Head,2014,Book,"A water-covered planet located in the Outer Rim, it is home to the amphibious Aqualish species and endures great turmoil during the Separatist Crisis."
Anoat,The Empire Strikes Back,1980,Film (mentioned),Polluted; A nearly inhospitable planet used by the Empire.
